1123	Samuti soovib Laur oma maja asjus jõuda advokaat Karineemega kohtuvälisele kokkuleppele.	Mrs Laur also wishes to reach an external agreement with the lawyer, Mr Karineeas, on her house.	[99, 84, 92]	1	[1.0630801754041426, 0.6681304714467177, 0.87113844457352]	0.8674496971414601	-0.5426032543182373
6503	Rünnakud parlamendi juures viisid valitsuse kokkuvarisemiseni.	The attacks on Parliament led to the collapse of the government.	[93, 99, 69]	1	[1.2578915260020094, 1.322790976880102, 0.5179885193921083]	1.0328903407580732	-0.240801528096199
2793	Prantsuse Charlet' brigaad ründas ja võttis enda kätte farmi küljel asuva pargi.	France's Charlet'Brigade attacked and took the party on the farm.	[29, 29, 29]	0	[-1.4585538318159967, -1.7315343153640192, -1.12785038341693]	-1.4393128435323153	-0.2668857276439667
9	Hiljem, kui Nagy arreteeriti Jugoslaavia saatkonnas, tema arreteerimist ei kinnitatud.	Later than Nagy was arrested in the Yugoslav Embassy, his arrest was not confirmed.	[57, 63, 51]	1	[-0.5098867875330986, -0.2337601711662148, -0.4297907926901062]	-0.3911459171298065	-0.2465574592351913
6281	Vaigistamise tõttu ei pruugi relevantsuse määramine eksplitsiitne.	Due to this abuse, setting the hit rate is not necessarily misleading.	[10, 18, 14]	0	[-2.7583452434187077, -1.4768801787803418, -1.8096223806656633]	-2.0149492676215712	-0.6882498264312744
1544	Reaalne on ainult igavik, kus ei ole muutumist, saamist ega kõdunemist.	The reality is only an eternity where there is no change, no overcome and no speech.	[41, 33, 25]	0	[-1.1179556081700188, -1.557013239959602, -1.2547703090036253]	-1.3099130523777485	-0.481368213891983
3112	Ameerika Ühendriikides otsustas San Francisco linnavalitsus keelata alastioleku avalikes kohtades, tehes erandi teatud üritustele.	In the United States, the Municipality of San Francisco decided to ban permanent status in public places, with an exception to certain events.	[26, 28, 1]	0	[-1.4642007120043536, -1.3021598218893584, -2.016289862523797]	-1.5942167988058362	-0.3722982406616211
5497	Singeri arvates just seda tulebki teha, kuigi see on levinud uskumustega vastuolus,	This is what it is all about, even though it is a conflict with belief, in the general public's opinion.	[84, 82, 83]	1	[0.6681304714467177, 0.5776758168102278, 0.4929432823203649]	0.5795831901924368	-0.8545464873313904
3152	aasta talvel keskenduti Riias semgalitega tekkinud probleemide lahendamisele.	During the winter of this year, the focus was on solving the problems with the Semgals in Riga.	[56, 83, 63]	1	[-0.2711408857067372, 0.6245002025956135, -0.1581138830084191]	0.0650818112934857	-0.4961827993392944
4167	8. augustil saadeti täiendust saanud 46. rügemendi I pataljon koos 47. rügemendi II pataljoniga Kurtna laagrisse puhkusele.	On 8 August, an additive of 46th rally I was sent to the Kurtna camp with 47th ambulance II for baggage.	[35, 23, 47]	0	[-1.4697527022573933, -1.318230271796973, -0.8698144240265682]	-1.2192657993603115	-0.65181964635849
648	"Erinevus on nende intentsioonide põhjus"" ja ""tagajärg"", ""märk"" ja ""märgitav"" ja ülejäänute vahel."	"Difference is the cause of these intents ""and"" consequence ""and"" of ""marked"" and ""of the rest."""	[75, 80, 78]	1	[0.19851994435723766, 0.4936093960423005, 0.4269187050200866]	0.3730160151398749	-0.5344789028167725
4966	Politseinikud tulevahetuses vigastada ei saanud, jalga sai haavata vanglaametnik ise, kes seejärel ka vahistati.	Police officers were not injured in the fire exchange, the prison official was wounded and subsequently arrested.	[67, 81, 67]	1	[0.253838172792557, 0.5372396648934048, 0.03588704551171866]	0.2756549610658934	-0.3801415860652923
842	Kreeka pealinnas Ateenas toimus 2006. aasta Eurovisiooni lauluvõistluse finaal.	The finalist of the 2006 Eurovision Song Contest was held in Athens, the Greek capital.	[79, 52, 74]	1	[0.44997912719119615, -0.3980608112934324, 0.24682090461896014]	0.0995797401722412	-0.288909912109375
